hour,venue,event,date,capacity,occupation,lineup,event_genres,city,headliner,lon,lat,marker-color,marker-size,marker-symbol
20:00,estadio polideportivo sur,concierto de conciertos,08/05/2013,20000,100,"fonseca, ivan_ovalle, pipe_pelaez, andres_cepeda, marc_anthony, juan_gabriel","pop, tropipop, salsa, ranchera",medellin,juan_gabriel,-75.59882283210754,6.164651620159747,,,
20:00,mgm foxwood theatre,,07/18/2013,3000,40,fonseca,"pop, tropipop",foxwoods,fonseca,-71.963987,41.477577,,,
20:00,Caracas,privado,07/19/2013,200,100,fonseca,"pop, tropipop",caracas,fonseca,-66.94793701171875,10.477008906900293,,,
20:00,sun life stadium,fiesta independencia colombia,07/20/2013,10000,100,"kenny williams, plan b, zacarias ferreira, fonseca, silvestre dangond, grupo niche and jorge celedon","pop, tropipop, bachata",miami,jorge_celedon,-80.24151,25.95677,,,
20:00,forum valencia,ilusion world tour,06/20/2013,8000,100,"fonseca, oscarcito, tecupae","pop, tropipop",valencia,fonseca,-67.942945,10.155854,,,
20:00,ccct caracas,ilusion world tour,06/21/20130,3000,100,fonseca,"pop, tropipop",caracas,fonseca,-72.59765625,-0.08789059053082422,,,
20:00,teatro agora casa de la cultura,ilusion world tour,06/12/2013,4500,80,fonseca,"pop, tropipop",quito,fonseca,-78.495364,-0.209357,,,
20:00,centro de convenciones guayaquil,ilusion wolrd tour,06/13/2013,4000,80,fonseca,"pop, tropipop",guayaquil,fonseca,-79.88734,-2.157636,,,
20:00,parque central sucumbios,ilusion world tour,06/07/2013,5000,100,fonseca,"pop, tropipop",nueva loja,fonseca,-76.88337,0.084945,,,
20:00,plaza de toros ambato,ilusion world tour,05/16/2013,5000,100,fonseca,"pop, tropipop",ambato,fonseca,-78.638639,-1.255193,,,
20:00,estadio olimpico ibarra,ilusion world tour,05/17/2013,8000,100,fonseca,"pop, tropipop",ibarra,fonseca,-78.118313,0.359982,,,
20:00,teatro mayor julio mario santodomingo,fundacion prema,02/21/20160:00:00,1300,100,fonseca,"sinfonico, pop",bogota,fonseca,-74.06283974647522,4.756766856353479,,,
20:00,nokia club,ilusion world tour,05/08/2013,2300,NA,fonseca,"pop, tropipop",los angeles,fonseca,-118.265502,34.0444711,,,
20:00,the regency ballroom,ilusion world tour,05/10/2013,2325,80,fonseca,"pop, tropipop",san fransico,fonseca,-122.4215762,37.7878176,,,
20:00,The Filmore,conexion tour,05/13/2016,2462,100,fonseca,"pop, tropipop",miami,fonseca,-80.1333600282669,25.792820304034187,,,
20:00,The House of Blues,conexion tour,05/14/2016,1500,100,fonseca,"pop, tropipop",orlando,fonseca,-81.5217250585556,28.37085577089754,,,
20:00,meydenbauer center,ilusion world tour,05/11/2016,750,80,fonseca,"pop, tropipop",Bellevue Washington,fonseca,-122.19193,47.61635,,,
20:00,Playstation Theatre,conexion tour,04/20/2016,1200,100,fonseca,"pop, tropipop",New York,fonseca,-73.98650944232939,40.75776579899014,,,
20:00,The Filmore,conexion tour,04/20/2016,2000,100,fonseca,"pop, tropipop",Silver Spring,fonseca,-80.1333600282669,25.792820304034187,,,
20:00,Wonderland Ballroom,conexion tour,04/22/2016,1300,80,fonseca,"pop, tropipop",Boston,fonseca,-70.9920859336853,42.41421342557534,,,
20:00,Queen Elizabeth Theater,conexion tour,05/19/2016,1250,80,fonseca,"pop, tropipop",Toronto,fonseca,-79.4211745262146,43.633027370687664,,,
20:00,House of Blues,conexion tour,05/06/2016,1000,100,fonseca,"pop, tropipop",houston,fonseca,-95.36393523216248,29.75406688155101,,,
20:00,House of Blues,ilusion tour,04/10/2013,1000,100,fonseca,"pop, tropipop",houston,fonseca,-95.36393523216248,29.75406688155101,,,
20:00,Flames central,conexion tour,05/20/2016,800,100,fonseca,"pop, tropipop",calgary,fonseca,-114.06635373830794,51.04558794036408,,,
20:00,Finca El Refugio,privado,08/02/2016,500,100,fonseca,"pop, tropipop",bogota,fonseca,-74.0273916721344,4.925570747704209,,,
20:00,Palacio de los deportes,Nickelodeon Kids Choice Awards,08/09/2016,5000,100,fonseca,"pop, tropipop, reggaeton",bogota,fonseca,-74.08419013023376,4.655475252700296,,,
20:00,Privado,,09/02/2016,500,100,fonseca,"pop, tropipop, reggaeton",cajica,fonseca,-74.01962,4.92564,,,
